front,rear,time
598,269,1969-01-01
560,265,1969-02-01
487,319,1969-03-01
407,407,1969-04-01
537,454,1969-05-01
518,427,1969-06-01
482,522,1969-07-01
555,536,1969-08-01
553,405,1969-09-01
413,437,1969-10-01
675,434,1969-11-01
676,437,1969-12-01
609,316,1970-01-01
592,311,1970-02-01
655,351,1970-03-01
530,362,1970-04-01
504,486,1970-05-01
437,429,1970-06-01
544,551,1970-07-01
558,646,1970-08-01
573,456,1970-09-01
672,475,1970-10-01
715,456,1970-11-01
831,468,1970-12-01
588,356,1971-01-01
603,271,1971-02-01
486,354,1971-03-01
466,427,1971-04-01
542,465,1971-05-01
533,440,1971-06-01
558,539,1971-07-01
548,646,1971-08-01
531,457,1971-09-01
631,446,1971-10-01
643,402,1971-11-01
674,441,1971-12-01
646,359,1972-01-01
523,334,1972-02-01
567,312,1972-03-01
460,427,1972-04-01
641,434,1972-05-01
635,486,1972-06-01
621,569,1972-07-01
535,523,1972-08-01
521,418,1972-09-01
622,452,1972-10-01
627,462,1972-11-01
711,497,1972-12-01
549,354,1973-01-01
569,347,1973-02-01
511,276,1973-03-01
642,472,1973-04-01
527,487,1973-05-01
517,505,1973-06-01
495,619,1973-07-01
492,640,1973-08-01
552,559,1973-09-01
555,453,1973-10-01
498,418,1973-11-01
573,419,1973-12-01
469,262,1974-01-01
366,299,1974-02-01
421,303,1974-03-01
343,401,1974-04-01
497,413,1974-05-01
457,426,1974-06-01
384,516,1974-07-01
457,600,1974-08-01
617,459,1974-09-01
476,443,1974-10-01
508,412,1974-11-01
553,400,1974-12-01
386,278,1975-01-01
305,302,1975-02-01
396,381,1975-03-01
354,279,1975-04-01
349,442,1975-05-01
381,409,1975-06-01
387,416,1975-07-01
373,511,1975-08-01
376,393,1975-09-01
387,345,1975-10-01
468,391,1975-11-01
524,470,1975-12-01
438,266,1976-01-01
372,312,1976-02-01
371,300,1976-03-01
270,373,1976-04-01
359,412,1976-05-01
322,322,1976-06-01
370,458,1976-07-01
321,427,1976-08-01
421,346,1976-09-01
404,421,1976-10-01
466,344,1976-11-01
616,370,1976-12-01
423,291,1977-01-01
343,224,1977-02-01
350,266,1977-03-01
340,338,1977-04-01
444,298,1977-05-01
454,386,1977-06-01
409,479,1977-07-01
379,473,1977-08-01
442,332,1977-09-01
440,391,1977-10-01
519,370,1977-11-01
615,431,1977-12-01
523,366,1978-01-01
376,250,1978-02-01
453,355,1978-03-01
442,304,1978-04-01
375,379,1978-05-01
425,440,1978-06-01
480,500,1978-07-01
448,511,1978-08-01
472,384,1978-09-01
432,366,1978-10-01
510,432,1978-11-01
620,390,1978-12-01
490,306,1979-01-01
411,232,1979-02-01
452,342,1979-03-01
421,329,1979-04-01
415,394,1979-05-01
361,355,1979-06-01
466,385,1979-07-01
468,463,1979-08-01
381,453,1979-09-01
389,373,1979-10-01
479,401,1979-11-01
611,466,1979-12-01
442,306,1980-01-01
330,263,1980-02-01
397,323,1980-03-01
336,310,1980-04-01
341,424,1980-05-01
417,403,1980-06-01
401,406,1980-07-01
419,466,1980-08-01
422,381,1980-09-01
491,369,1980-10-01
447,378,1980-11-01
519,392,1980-12-01
420,284,1981-01-01
375,316,1981-02-01
367,321,1981-03-01
356,358,1981-04-01
436,378,1981-05-01
354,382,1981-06-01
443,433,1981-07-01
323,506,1981-08-01
390,428,1981-09-01
463,479,1981-10-01
412,370,1981-11-01
474,349,1981-12-01
357,238,1982-01-01
388,285,1982-02-01
336,324,1982-03-01
330,346,1982-04-01
345,410,1982-05-01
404,411,1982-06-01
371,496,1982-07-01
399,534,1982-08-01
402,396,1982-09-01
480,470,1982-10-01
440,385,1982-11-01
500,411,1982-12-01
338,281,1983-01-01
126,300,1983-02-01
157,318,1983-03-01
165,391,1983-04-01
161,398,1983-05-01
146,337,1983-06-01
110,477,1983-07-01
193,422,1983-08-01
123,495,1983-09-01
191,471,1983-10-01
151,368,1983-11-01
240,345,1983-12-01
187,296,1984-01-01
115,319,1984-02-01
164,349,1984-03-01
173,375,1984-04-01
145,441,1984-05-01
57,465,1984-06-01
129,472,1984-07-01
123,521,1984-08-01
214,429,1984-09-01
233,408,1984-10-01
221,490,1984-11-01
230,491,1984-12-01
